cross_pair,d0_cross,d0_same,abs_diff
block_cont_r10__lead_opt_r4,0.375291,0.375294,3e-06
block_cont_r10__lead_opt_r5,0.345789,0.345767,2.2e-05
block_cont_r10__lead_opt_r6,0.357857,0.357806,5.1e-05
block_cont_r10__lead_opt_r7,0.347806,0.347515,0.000291
block_cont_r10__lead_opt_r8,0.336206,0.336231,2.5e-05
block_cont_r10__lead_opt_r9,0.345892,0.345942,5e-05
block_cont_r11__cross_clear_r1,0.363368,0.363392,2.4e-05
block_cont_r11__cross_clear_r10,0.122834,0.122683,0.000151
block_cont_r11__cross_clear_r11,0.381702,0.381542,0.00016
block_cont_r11__cross_clear_r12,0.240071,0.239944,0.000127
block_cont_r11__cross_clear_r2,0.323372,0.323351,2.1e-05
block_cont_r11__cross_clear_r3,0.408848,0.408999,0.000151
block_cont_r11__cross_clear_r4,0.366286,0.365795,0.000491
block_cont_r11__cross_clear_r5,0.324443,0.324432,1.1e-05
block_cont_r11__cross_clear_r6,0.233747,0.233733,1.4e-05
block_cont_r11__cross_clear_r7,0.382444,0.382509,6.5e-05
block_cont_r11__cross_clear_r8,0.316343,0.316409,6.6e-05
block_cont_r11__cross_clear_r9,0.302281,0.301861,0.00042
block_cont_r11__cross_stall_occ_r1,0.090457,0.09044,1.7e-05
block_cont_r11__cross_stall_occ_r10,0.136481,0.136659,0.000178
block_cont_r11__cross_stall_occ_r11,0.073579,0.073579,0.0
block_cont_r11__cross_stall_occ_r12,0.091567,0.09164,7.3e-05
block_cont_r11__cross_stall_occ_r2,0.104263,0.104363,0.0001
block_cont_r11__cross_stall_occ_r3,0.124975,0.12521,0.000235
block_cont_r11__cross_stall_occ_r4,0.148072,0.148383,0.000311
block_cont_r11__cross_stall_occ_r5,0.08483,0.084678,0.000152
block_cont_r11__cross_stall_occ_r6,0.094457,0.094653,0.000196
block_cont_r11__cross_stall_occ_r7,0.090442,0.09044,2e-06
block_cont_r11__cross_stall_occ_r8,0.100831,0.100642,0.000189
block_cont_r11__cross_stall_occ_r9,0.109084,0.108675,0.000409
block_cont_r11__cross_stall_r1,0.376993,0.377087,9.4e-05
block_cont_r11__cross_stall_r10,0.372357,0.37231,4.7e-05
block_cont_r11__cross_stall_r11,0.345881,0.345942,6.1e-05
block_cont_r11__cross_stall_r12,0.365646,0.365622,2.4e-05
block_cont_r11__cross_stall_r2,0.38704,0.388017,0.000977
block_cont_r11__cross_stall_r3,0.362871,0.362887,1.6e-05
block_cont_r11__cross_stall_r4,0.376058,0.375955,0.000103
block_cont_r11__cross_stall_r5,0.33657,0.33654,3e-05
block_cont_r11__cross_stall_r6,0.369592,0.369377,0.000215
block_cont_r11__cross_stall_r7,0.372702,0.37272,1.8e-05
block_cont_r11__cross_stall_r8,0.383372,0.383311,6.1e-05
block_cont_r11__cross_stall_r9,0.360768,0.360787,1.9e-05
