pair_id,pair_type,state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,same_param_group,ego_speed_diff,d0_mean,d1_mean,d1_validonly,feasibility_agree,n_valid_actions
c1_block_cont_02__c1_cross_stall_07,cross,c1_block_cont_02,c1_cross_stall_07,block_or_occupancy,cross,block_cont,cross_stall,0,2.0,0.35479,0.24893,0.24893,1.0,8
c1_block_cont_02__c1_cross_stall_08,cross,c1_block_cont_02,c1_cross_stall_08,block_or_occupancy,cross,block_cont,cross_stall,0,2.0,0.338463,0.256555,0.256555,1.0,8
c1_block_cont_02__c1_cross_stall_occ_01,cross,c1_block_cont_02,c1_cross_stall_occ_01,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.023144,0.013505,0.013505,1.0,8
c1_block_cont_02__c1_cross_stall_occ_02,cross,c1_block_cont_02,c1_cross_stall_occ_02,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.024377,0.014135,0.014135,1.0,8
c1_block_cont_02__c1_cross_stall_occ_03,cross,c1_block_cont_02,c1_cross_stall_occ_03,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.058952,0.02506,0.02506,1.0,8
c1_block_cont_02__c1_cross_stall_occ_04,cross,c1_block_cont_02,c1_cross_stall_occ_04,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.06059,0.025812,0.025812,1.0,8
c1_block_cont_02__c1_cross_stall_occ_05,cross,c1_block_cont_02,c1_cross_stall_occ_05,block_or_occupancy,cross,block_cont,cross_stall_occ,0,2.0,0.058234,0.032185,0.032185,1.0,8
c1_block_cont_02__c1_cross_stall_occ_06,cross,c1_block_cont_02,c1_cross_stall_occ_06,block_or_occupancy,cross,block_cont,cross_stall_occ,0,2.0,0.018562,0.011398,0.011398,1.0,8
c1_block_cont_02__c1_cross_stall_occ_07,cross,c1_block_cont_02,c1_cross_stall_occ_07,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.068464,0.03477,0.03477,1.0,8
c1_block_cont_02__c1_cross_stall_occ_08,cross,c1_block_cont_02,c1_cross_stall_occ_08,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.093904,0.046714,0.046714,1.0,8
c1_block_cont_02__c1_lead_cont_01,cross,c1_block_cont_02,c1_lead_cont_01,block_or_occupancy,lead,block_cont,lead_cont,0,0.0,0.035084,0.0201,0.0201,1.0,8
c1_block_cont_02__c1_lead_cont_02,cross,c1_block_cont_02,c1_lead_cont_02,block_or_occupancy,lead,block_cont,lead_cont,0,0.0,0.06359,0.035901,0.035901,1.0,8
c1_block_cont_02__c1_lead_cont_03,cross,c1_block_cont_02,c1_lead_cont_03,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.093974,0.046037,0.046037,1.0,8
c1_block_cont_02__c1_lead_cont_04,cross,c1_block_cont_02,c1_lead_cont_04,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.101394,0.048795,0.048795,1.0,8
c1_block_cont_02__c1_lead_cont_05,cross,c1_block_cont_02,c1_lead_cont_05,block_or_occupancy,lead,block_cont,lead_cont,0,2.0,0.062038,0.032526,0.032526,1.0,8
c1_block_cont_02__c1_lead_cont_06,cross,c1_block_cont_02,c1_lead_cont_06,block_or_occupancy,lead,block_cont,lead_cont,0,2.0,0.065513,0.034201,0.034201,1.0,8
c1_block_cont_02__c1_lead_cont_07,cross,c1_block_cont_02,c1_lead_cont_07,block_or_occupancy,lead,block_cont,lead_cont,0,3.0,0.066633,0.032167,0.032167,1.0,8
c1_block_cont_02__c1_lead_cont_08,cross,c1_block_cont_02,c1_lead_cont_08,block_or_occupancy,lead,block_cont,lead_cont,0,3.0,0.070029,0.032428,0.032428,1.0,8
c1_block_cont_02__c1_lead_nec_01,cross,c1_block_cont_02,c1_lead_nec_01,block_or_occupancy,lead,block_cont,lead_nec,0,0.0,0.372611,0.294275,0.294275,1.0,8
c1_block_cont_02__c1_lead_nec_02,cross,c1_block_cont_02,c1_lead_nec_02,block_or_occupancy,lead,block_cont,lead_nec,0,0.0,0.401117,0.309467,0.309467,1.0,8
c1_block_cont_02__c1_lead_nec_03,cross,c1_block_cont_02,c1_lead_nec_03,block_or_occupancy,lead,block_cont,lead_nec,0,1.0,0.360699,0.286532,0.286532,1.0,8
c1_block_cont_02__c1_lead_nec_04,cross,c1_block_cont_02,c1_lead_nec_04,block_or_occupancy,lead,block_cont,lead_nec,0,1.0,0.391995,0.304131,0.304131,1.0,8
c1_block_cont_02__c1_lead_nec_05,cross,c1_block_cont_02,c1_lead_nec_05,block_or_occupancy,lead,block_cont,lead_nec,0,2.0,0.387092,0.300697,0.300697,1.0,8
c1_block_cont_02__c1_lead_nec_06,cross,c1_block_cont_02,c1_lead_nec_06,block_or_occupancy,lead,block_cont,lead_nec,0,2.0,0.390567,0.302372,0.302372,1.0,8
c1_block_cont_02__c1_lead_nec_07,cross,c1_block_cont_02,c1_lead_nec_07,block_or_occupancy,lead,block_cont,lead_nec,0,3.0,0.349321,0.27341,0.27341,1.0,8
c1_block_cont_02__c1_lead_nec_08,cross,c1_block_cont_02,c1_lead_nec_08,block_or_occupancy,lead,block_cont,lead_nec,0,3.0,0.384238,0.297997,0.297997,1.0,8
c1_block_cont_02__c1_lead_opt_01,cross,c1_block_cont_02,c1_lead_opt_01,block_or_occupancy,lead,block_cont,lead_opt,0,0.0,0.390456,0.305964,0.305964,1.0,8
c1_block_cont_02__c1_lead_opt_02,cross,c1_block_cont_02,c1_lead_opt_02,block_or_occupancy,lead,block_cont,lead_opt,0,0.0,0.399482,0.310512,0.310512,1.0,8
c1_block_cont_02__c1_lead_opt_03,cross,c1_block_cont_02,c1_lead_opt_03,block_or_occupancy,lead,block_cont,lead_opt,0,1.0,0.394397,0.307778,0.307778,1.0,8
c1_block_cont_02__c1_lead_opt_04,cross,c1_block_cont_02,c1_lead_opt_04,block_or_occupancy,lead,block_cont,lead_opt,0,1.0,0.377466,0.298301,0.298301,1.0,8
c1_block_cont_02__c1_lead_opt_05,cross,c1_block_cont_02,c1_lead_opt_05,block_or_occupancy,lead,block_cont,lead_opt,0,2.0,0.376352,0.297113,0.297113,1.0,8
c1_block_cont_02__c1_lead_opt_06,cross,c1_block_cont_02,c1_lead_opt_06,block_or_occupancy,lead,block_cont,lead_opt,0,2.0,0.366059,0.290266,0.290266,1.0,8
c1_block_cont_02__c1_lead_opt_07,cross,c1_block_cont_02,c1_lead_opt_07,block_or_occupancy,lead,block_cont,lead_opt,0,3.0,0.358277,0.266326,0.266326,1.0,8
c1_block_cont_02__c1_lead_opt_08,cross,c1_block_cont_02,c1_lead_opt_08,block_or_occupancy,lead,block_cont,lead_opt,0,3.0,0.375543,0.289596,0.289596,1.0,8
c1_block_cont_03__c1_cross_clear_01,cross,c1_block_cont_03,c1_cross_clear_01,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.301889,0.275418,0.275418,1.0,8
c1_block_cont_03__c1_cross_clear_02,cross,c1_block_cont_03,c1_cross_clear_02,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.239251,0.247962,0.247962,1.0,8
c1_block_cont_03__c1_cross_clear_03,cross,c1_block_cont_03,c1_cross_clear_03,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.325883,0.285795,0.285795,1.0,8
c1_block_cont_03__c1_cross_clear_04,cross,c1_block_cont_03,c1_cross_clear_04,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.287723,0.266253,0.266253,1.0,8
c1_block_cont_03__c1_cross_clear_05,cross,c1_block_cont_03,c1_cross_clear_05,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.336458,0.286145,0.286145,1.0,8
c1_block_cont_03__c1_cross_clear_06,cross,c1_block_cont_03,c1_cross_clear_06,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.258898,0.253628,0.253628,1.0,8
c1_block_cont_03__c1_cross_clear_07,cross,c1_block_cont_03,c1_cross_clear_07,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.221956,0.158797,0.158797,1.0,8
c1_block_cont_03__c1_cross_clear_08,cross,c1_block_cont_03,c1_cross_clear_08,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.10538,0.101234,0.101234,1.0,8
c1_block_cont_03__c1_cross_stall_01,cross,c1_block_cont_03,c1_cross_stall_01,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.316527,0.273991,0.273991,1.0,8
c1_block_cont_03__c1_cross_stall_02,cross,c1_block_cont_03,c1_cross_stall_02,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.327441,0.281517,0.281517,1.0,8
c1_block_cont_03__c1_cross_stall_03,cross,c1_block_cont_03,c1_cross_stall_03,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.333559,0.284926,0.284926,1.0,8
c1_block_cont_03__c1_cross_stall_04,cross,c1_block_cont_03,c1_cross_stall_04,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.32653,0.279837,0.279837,1.0,8
c1_block_cont_03__c1_cross_stall_05,cross,c1_block_cont_03,c1_cross_stall_05,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.327858,0.280553,0.280553,1.0,8
c1_block_cont_03__c1_cross_stall_06,cross,c1_block_cont_03,c1_cross_stall_06,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.304638,0.261187,0.261187,1.0,8
c1_block_cont_03__c1_cross_stall_07,cross,c1_block_cont_03,c1_cross_stall_07,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.287282,0.219704,0.219704,1.0,8
c1_block_cont_03__c1_cross_stall_08,cross,c1_block_cont_03,c1_cross_stall_08,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.298469,0.241211,0.241211,1.0,8
c1_block_cont_03__c1_cross_stall_occ_01,cross,c1_block_cont_03,c1_cross_stall_occ_01,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.09796,0.059709,0.059709,1.0,8
c1_block_cont_03__c1_cross_stall_occ_02,cross,c1_block_cont_03,c1_cross_stall_occ_02,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.099192,0.060339,0.060339,1.0,8
c1_block_cont_03__c1_cross_stall_occ_03,cross,c1_block_cont_03,c1_cross_stall_occ_03,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.057819,0.033543,0.033543,1.0,8
c1_block_cont_03__c1_cross_stall_occ_04,cross,c1_block_cont_03,c1_cross_stall_occ_04,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.059457,0.034295,0.034295,1.0,8
c1_block_cont_03__c1_cross_stall_occ_05,cross,c1_block_cont_03,c1_cross_stall_occ_05,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.09547,0.045061,0.045061,1.0,8
c1_block_cont_03__c1_cross_stall_occ_06,cross,c1_block_cont_03,c1_cross_stall_occ_06,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.076139,0.038187,0.038187,1.0,8
c1_block_cont_03__c1_cross_stall_occ_07,cross,c1_block_cont_03,c1_cross_stall_occ_07,block_or_occupancy,cross,block_cont,cross_stall_occ,0,1.0,0.11264,0.07373,0.07373,1.0,8
c1_block_cont_03__c1_cross_stall_occ_08,cross,c1_block_cont_03,c1_cross_stall_occ_08,block_or_occupancy,cross,block_cont,cross_stall_occ,0,0.0,0.067384,0.044275,0.044275,1.0,8
c1_block_cont_03__c1_lead_cont_01,cross,c1_block_cont_03,c1_lead_cont_01,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.1099,0.066304,0.066304,1.0,8
c1_block_cont_03__c1_lead_cont_02,cross,c1_block_cont_03,c1_lead_cont_02,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.138406,0.081731,0.081731,1.0,8
c1_block_cont_03__c1_lead_cont_03,cross,c1_block_cont_03,c1_lead_cont_03,block_or_occupancy,lead,block_cont,lead_cont,0,0.0,0.068843,0.04505,0.04505,1.0,8
c1_block_cont_03__c1_lead_cont_04,cross,c1_block_cont_03,c1_lead_cont_04,block_or_occupancy,lead,block_cont,lead_cont,0,0.0,0.100262,0.05731,0.05731,1.0,8
c1_block_cont_03__c1_lead_cont_05,cross,c1_block_cont_03,c1_lead_cont_05,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.129824,0.0699,0.0699,1.0,8
c1_block_cont_03__c1_lead_cont_06,cross,c1_block_cont_03,c1_lead_cont_06,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.133298,0.071574,0.071574,1.0,8
c1_block_cont_03__c1_lead_cont_07,cross,c1_block_cont_03,c1_lead_cont_07,block_or_occupancy,lead,block_cont,lead_cont,0,2.0,0.072807,0.042039,0.042039,1.0,8
c1_block_cont_03__c1_lead_cont_08,cross,c1_block_cont_03,c1_lead_cont_08,block_or_occupancy,lead,block_cont,lead_cont,0,2.0,0.116126,0.062195,0.062195,1.0,8
c1_block_cont_03__c1_lead_nec_01,cross,c1_block_cont_03,c1_lead_nec_01,block_or_occupancy,lead,block_cont,lead_nec,0,1.0,0.344266,0.290891,0.290891,1.0,8
c1_block_cont_03__c1_lead_nec_02,cross,c1_block_cont_03,c1_lead_nec_02,block_or_occupancy,lead,block_cont,lead_nec,0,1.0,0.372772,0.306083,0.306083,1.0,8
c1_block_cont_03__c1_lead_nec_03,cross,c1_block_cont_03,c1_lead_nec_03,block_or_occupancy,lead,block_cont,lead_nec,0,0.0,0.332355,0.283148,0.283148,1.0,8
c1_block_cont_03__c1_lead_nec_04,cross,c1_block_cont_03,c1_lead_nec_04,block_or_occupancy,lead,block_cont,lead_nec,0,0.0,0.36365,0.300747,0.300747,1.0,8
c1_block_cont_03__c1_lead_nec_05,cross,c1_block_cont_03,c1_lead_nec_05,block_or_occupancy,lead,block_cont,lead_nec,0,1.0,0.358747,0.297313,0.297313,1.0,8
c1_block_cont_03__c1_lead_nec_06,cross,c1_block_cont_03,c1_lead_nec_06,block_or_occupancy,lead,block_cont,lead_nec,0,1.0,0.362222,0.298987,0.298987,1.0,8
c1_block_cont_03__c1_lead_nec_07,cross,c1_block_cont_03,c1_lead_nec_07,block_or_occupancy,lead,block_cont,lead_nec,0,2.0,0.320157,0.267841,0.267841,1.0,8
c1_block_cont_03__c1_lead_nec_08,cross,c1_block_cont_03,c1_lead_nec_08,block_or_occupancy,lead,block_cont,lead_nec,0,2.0,0.355894,0.294613,0.294613,1.0,8
c1_block_cont_03__c1_lead_opt_01,cross,c1_block_cont_03,c1_lead_opt_01,block_or_occupancy,lead,block_cont,lead_opt,0,1.0,0.362111,0.30258,0.30258,1.0,8
c1_block_cont_03__c1_lead_opt_02,cross,c1_block_cont_03,c1_lead_opt_02,block_or_occupancy,lead,block_cont,lead_opt,0,1.0,0.371137,0.307128,0.307128,1.0,8
c1_block_cont_03__c1_lead_opt_03,cross,c1_block_cont_03,c1_lead_opt_03,block_or_occupancy,lead,block_cont,lead_opt,0,0.0,0.366052,0.304394,0.304394,1.0,8
