pair_id,pair_type,state_i,state_j,probe_action,d0_mean,d1_action,feasibility_agree,both_valid,both_infeasible,one_valid
c1_block_cont_01__c1_cross_stall_02,cross,c1_block_cont_01,c1_cross_stall_02,U1,0.363225,0.369277,1,1,0,0
c1_block_cont_01__c1_cross_stall_02,cross,c1_block_cont_01,c1_cross_stall_02,U2,0.363225,0.371347,1,1,0,0
c1_block_cont_01__c1_cross_stall_02,cross,c1_block_cont_01,c1_cross_stall_02,U3,0.363225,0.393045,1,1,0,0
c1_block_cont_01__c1_cross_stall_02,cross,c1_block_cont_01,c1_cross_stall_02,U4,0.363225,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_02,cross,c1_block_cont_01,c1_cross_stall_02,U5,0.363225,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_02,cross,c1_block_cont_01,c1_cross_stall_02,U6,0.363225,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_02,cross,c1_block_cont_01,c1_cross_stall_02,U7,0.363225,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_03,cross,c1_block_cont_01,c1_cross_stall_03,U0,0.369343,0.392087,1,1,0,0
c1_block_cont_01__c1_cross_stall_03,cross,c1_block_cont_01,c1_cross_stall_03,U1,0.369343,0.375735,1,1,0,0
c1_block_cont_01__c1_cross_stall_03,cross,c1_block_cont_01,c1_cross_stall_03,U2,0.369343,0.378642,1,1,0,0
c1_block_cont_01__c1_cross_stall_03,cross,c1_block_cont_01,c1_cross_stall_03,U3,0.369343,0.400869,1,1,0,0
c1_block_cont_01__c1_cross_stall_03,cross,c1_block_cont_01,c1_cross_stall_03,U4,0.369343,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_03,cross,c1_block_cont_01,c1_cross_stall_03,U5,0.369343,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_03,cross,c1_block_cont_01,c1_cross_stall_03,U6,0.369343,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_03,cross,c1_block_cont_01,c1_cross_stall_03,U7,0.369343,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_04,cross,c1_block_cont_01,c1_cross_stall_04,U0,0.362314,0.382503,1,1,0,0
c1_block_cont_01__c1_cross_stall_04,cross,c1_block_cont_01,c1_cross_stall_04,U1,0.362314,0.364697,1,1,0,0
c1_block_cont_01__c1_cross_stall_04,cross,c1_block_cont_01,c1_cross_stall_04,U2,0.362314,0.36839,1,1,0,0
c1_block_cont_01__c1_cross_stall_04,cross,c1_block_cont_01,c1_cross_stall_04,U3,0.362314,0.391035,1,1,0,0
c1_block_cont_01__c1_cross_stall_04,cross,c1_block_cont_01,c1_cross_stall_04,U4,0.362314,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_04,cross,c1_block_cont_01,c1_cross_stall_04,U5,0.362314,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_04,cross,c1_block_cont_01,c1_cross_stall_04,U6,0.362314,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_04,cross,c1_block_cont_01,c1_cross_stall_04,U7,0.362314,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_05,cross,c1_block_cont_01,c1_cross_stall_05,U0,0.363642,0.383491,1,1,0,0
c1_block_cont_01__c1_cross_stall_05,cross,c1_block_cont_01,c1_cross_stall_05,U1,0.363642,0.365895,1,1,0,0
c1_block_cont_01__c1_cross_stall_05,cross,c1_block_cont_01,c1_cross_stall_05,U2,0.363642,0.370046,1,1,0,0
c1_block_cont_01__c1_cross_stall_05,cross,c1_block_cont_01,c1_cross_stall_05,U3,0.363642,0.392924,1,1,0,0
c1_block_cont_01__c1_cross_stall_05,cross,c1_block_cont_01,c1_cross_stall_05,U4,0.363642,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_05,cross,c1_block_cont_01,c1_cross_stall_05,U5,0.363642,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_05,cross,c1_block_cont_01,c1_cross_stall_05,U6,0.363642,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_05,cross,c1_block_cont_01,c1_cross_stall_05,U7,0.363642,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_06,cross,c1_block_cont_01,c1_cross_stall_06,U0,0.340422,0.360295,1,1,0,0
c1_block_cont_01__c1_cross_stall_06,cross,c1_block_cont_01,c1_cross_stall_06,U1,0.340422,0.339157,1,1,0,0
c1_block_cont_01__c1_cross_stall_06,cross,c1_block_cont_01,c1_cross_stall_06,U2,0.340422,0.340744,1,1,0,0
c1_block_cont_01__c1_cross_stall_06,cross,c1_block_cont_01,c1_cross_stall_06,U3,0.340422,0.317228,1,1,0,0
c1_block_cont_01__c1_cross_stall_06,cross,c1_block_cont_01,c1_cross_stall_06,U4,0.340422,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_06,cross,c1_block_cont_01,c1_cross_stall_06,U5,0.340422,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_06,cross,c1_block_cont_01,c1_cross_stall_06,U6,0.340422,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_06,cross,c1_block_cont_01,c1_cross_stall_06,U7,0.340422,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_07,cross,c1_block_cont_01,c1_cross_stall_07,U0,0.328268,0.364988,1,1,0,0
c1_block_cont_01__c1_cross_stall_07,cross,c1_block_cont_01,c1_cross_stall_07,U1,0.328268,0.323509,1,1,0,0
c1_block_cont_01__c1_cross_stall_07,cross,c1_block_cont_01,c1_cross_stall_07,U2,0.328268,0.241273,1,1,0,0
c1_block_cont_01__c1_cross_stall_07,cross,c1_block_cont_01,c1_cross_stall_07,U3,0.328268,0.122856,1,1,0,0
c1_block_cont_01__c1_cross_stall_07,cross,c1_block_cont_01,c1_cross_stall_07,U4,0.328268,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_07,cross,c1_block_cont_01,c1_cross_stall_07,U5,0.328268,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_07,cross,c1_block_cont_01,c1_cross_stall_07,U6,0.328268,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_07,cross,c1_block_cont_01,c1_cross_stall_07,U7,0.328268,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_08,cross,c1_block_cont_01,c1_cross_stall_08,U0,0.334253,0.35855,1,1,0,0
c1_block_cont_01__c1_cross_stall_08,cross,c1_block_cont_01,c1_cross_stall_08,U1,0.334253,0.335942,1,1,0,0
c1_block_cont_01__c1_cross_stall_08,cross,c1_block_cont_01,c1_cross_stall_08,U2,0.334253,0.289359,1,1,0,0
c1_block_cont_01__c1_cross_stall_08,cross,c1_block_cont_01,c1_cross_stall_08,U3,0.334253,0.218291,1,1,0,0
c1_block_cont_01__c1_cross_stall_08,cross,c1_block_cont_01,c1_cross_stall_08,U4,0.334253,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_08,cross,c1_block_cont_01,c1_cross_stall_08,U5,0.334253,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_08,cross,c1_block_cont_01,c1_cross_stall_08,U6,0.334253,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_08,cross,c1_block_cont_01,c1_cross_stall_08,U7,0.334253,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_01,cross,c1_block_cont_01,c1_cross_stall_occ_01,U0,0.050927,0.041199,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_01,cross,c1_block_cont_01,c1_cross_stall_occ_01,U1,0.050927,0.046566,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_01,cross,c1_block_cont_01,c1_cross_stall_occ_01,U2,0.050927,0.051812,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_01,cross,c1_block_cont_01,c1_cross_stall_occ_01,U3,0.050927,0.059311,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_01,cross,c1_block_cont_01,c1_cross_stall_occ_01,U4,0.050927,0.0,1,1,0,0
