state_i,state_j,coarse_i,coarse_j,same_group,d0_8,d0_10,d1_8
c1_block_cont_02,c1_cross_stall_occ_06,block_or_occupancy,cross,0,0.019614062499999998,0.0185615625,0.012796728515625001
c1_block_cont_02,c1_cross_stall_occ_07,block_or_occupancy,cross,0,0.049125390625,0.068464375,0.026519384765625
c1_block_cont_02,c1_cross_stall_occ_08,block_or_occupancy,cross,0,0.08447890625,0.09390375,0.044256982421875
c1_block_cont_02,c1_lead_cont_01,block_or_occupancy,lead,0,0.033590625,0.0350840625,0.019289550781249998
c1_block_cont_02,c1_lead_cont_02,block_or_occupancy,lead,0,0.05538164062499999,0.0635896875,0.030831152343749998
c1_block_cont_02,c1_lead_cont_03,block_or_occupancy,lead,0,0.084228125,0.0939740625,0.04361279296875
c1_block_cont_02,c1_lead_cont_04,block_or_occupancy,lead,0,0.09779414062500001,0.101394375,0.048498583984375
c1_block_cont_02,c1_lead_cont_05,block_or_occupancy,lead,0,0.057558984375,0.0620384375,0.030859570312500004
c1_block_cont_02,c1_lead_cont_06,block_or_occupancy,lead,0,0.06060898437500001,0.06551312499999999,0.03221904296875
c1_block_cont_02,c1_lead_cont_07,block_or_occupancy,lead,0,0.05583359375000001,0.0666328125,0.028828369140625
c1_block_cont_02,c1_lead_cont_08,block_or_occupancy,lead,0,0.066648828125,0.0700290625,0.031432373046874997
c1_block_cont_02,c1_lead_nec_01,block_or_occupancy,lead,0,0.333248046875,0.3726109375,0.269329052734375
c1_block_cont_02,c1_lead_nec_02,block_or_occupancy,lead,0,0.3550390625,0.40111656250000005,0.280870654296875
c1_block_cont_02,c1_lead_nec_03,block_or_occupancy,lead,0,0.32175156250000003,0.360699375,0.261971630859375
c1_block_cont_02,c1_lead_nec_04,block_or_occupancy,lead,0,0.34856835937499997,0.3919946875,0.27711943359375
c1_block_cont_02,c1_lead_nec_05,block_or_occupancy,lead,0,0.344373828125,0.3870921875,0.274275
c1_block_cont_02,c1_lead_nec_06,block_or_occupancy,lead,0,0.347423828125,0.39056687500000004,0.27563447265625
c1_block_cont_02,c1_lead_nec_07,block_or_occupancy,lead,0,0.309808203125,0.34932125,0.24962314453125
c1_block_cont_02,c1_lead_nec_08,block_or_occupancy,lead,0,0.341733203125,0.3842384375,0.271927783203125
c1_block_cont_02,c1_lead_opt_01,block_or_occupancy,lead,0,0.344392578125,0.390455625,0.276770068359375
c1_block_cont_02,c1_lead_opt_02,block_or_occupancy,lead,0,0.351053125,0.399481875,0.28007041015625
c1_block_cont_02,c1_lead_opt_03,block_or_occupancy,lead,0,0.346228515625,0.394396875,0.2775947265625
c1_block_cont_02,c1_lead_opt_04,block_or_occupancy,lead,0,0.33336796874999997,0.37746562499999997,0.2706185546875
c1_block_cont_02,c1_lead_opt_05,block_or_occupancy,lead,0,0.33068789062500004,0.3763521875,0.268549853515625
c1_block_cont_02,c1_lead_opt_06,block_or_occupancy,lead,0,0.3221046875,0.36605906250000003,0.262810791015625
c1_block_cont_02,c1_lead_opt_07,block_or_occupancy,lead,0,0.314190234375,0.3582765625,0.241749658203125
c1_block_cont_02,c1_lead_opt_08,block_or_occupancy,lead,0,0.32851406250000004,0.375543125,0.2613873046875
c1_block_cont_03,c1_cross_clear_01,block_or_occupancy,cross,0,0.261999609375,0.30188875,0.244237109375
c1_block_cont_03,c1_cross_clear_02,block_or_occupancy,cross,0,0.213825,0.23925062500000002,0.22105151367187503
c1_block_cont_03,c1_cross_clear_03,block_or_occupancy,cross,0,0.2845890625,0.325883125,0.25452114257812497
c1_block_cont_03,c1_cross_clear_04,block_or_occupancy,cross,0,0.257616015625,0.28772343750000007,0.238174658203125
c1_block_cont_03,c1_cross_clear_05,block_or_occupancy,cross,0,0.29076914062500003,0.33645843750000004,0.2539732421875
c1_block_cont_03,c1_cross_clear_06,block_or_occupancy,cross,0,0.232141796875,0.2588975,0.22710732421875002
c1_block_cont_03,c1_cross_clear_07,block_or_occupancy,cross,0,0.18417968749999997,0.22195625,0.138465478515625
c1_block_cont_03,c1_cross_clear_08,block_or_occupancy,cross,0,0.09526953125,0.10538,0.09126318359375
c1_block_cont_03,c1_cross_stall_01,block_or_occupancy,cross,0,0.28488828125,0.31652749999999996,0.25033686523437504
c1_block_cont_03,c1_cross_stall_02,block_or_occupancy,cross,0,0.29559375,0.32744125,0.25770419921875
c1_block_cont_03,c1_cross_stall_03,block_or_occupancy,cross,0,0.30140468750000005,0.33355875,0.260923486328125
c1_block_cont_03,c1_cross_stall_04,block_or_occupancy,cross,0,0.29406718750000005,0.3265303125,0.255763916015625
c1_block_cont_03,c1_cross_stall_05,block_or_occupancy,cross,0,0.29534101562500004,0.3278578125,0.256448291015625
c1_block_cont_03,c1_cross_stall_06,block_or_occupancy,cross,0,0.272178515625,0.304638125,0.23758027343750002
c1_block_cont_03,c1_cross_stall_07,block_or_occupancy,cross,0,0.254821875,0.2872825,0.199973291015625
c1_block_cont_03,c1_cross_stall_08,block_or_occupancy,cross,0,0.265514453125,0.29846874999999995,0.219132763671875
c1_block_cont_03,c1_cross_stall_occ_01,block_or_occupancy,cross,0,0.09609882812500001,0.09795999999999999,0.06310800781249999
c1_block_cont_03,c1_cross_stall_occ_02,block_or_occupancy,cross,0,0.097273046875,0.0991925,0.06369501953125
c1_block_cont_03,c1_cross_stall_occ_03,block_or_occupancy,cross,0,0.052667187500000004,0.0578190625,0.034288330078125
c1_block_cont_03,c1_cross_stall_occ_04,block_or_occupancy,cross,0,0.05433203125,0.059456875,0.035022656250000006
c1_block_cont_03,c1_cross_stall_occ_05,block_or_occupancy,cross,0,0.08690390625,0.0954703125,0.0456099609375
c1_block_cont_03,c1_cross_stall_occ_06,block_or_occupancy,cross,0,0.07188203125,0.07613875,0.040591162109374995
c1_block_cont_03,c1_cross_stall_occ_07,block_or_occupancy,cross,0,0.108076953125,0.11263968750000002,0.07407377929687499
c1_block_cont_03,c1_cross_stall_occ_08,block_or_occupancy,cross,0,0.06464453125,0.0673840625,0.044576611328124995
c1_block_cont_03,c1_lead_cont_01,block_or_occupancy,lead,0,0.10700078125,0.1099,0.0690955078125
c1_block_cont_03,c1_lead_cont_02,block_or_occupancy,lead,0,0.12879179687499998,0.138405625,0.080637109375
c1_block_cont_03,c1_lead_cont_03,block_or_occupancy,lead,0,0.06612968749999999,0.068843125,0.04533564453125
c1_block_cont_03,c1_lead_cont_04,block_or_occupancy,lead,0,0.09033476562500001,0.1002615625,0.055456689453125
c1_block_cont_03,c1_lead_cont_05,block_or_occupancy,lead,0,0.122180859375,0.12982375,0.07089345703125
c1_block_cont_03,c1_lead_cont_06,block_or_occupancy,lead,0,0.125230859375,0.1332984375,0.0722529296875
c1_block_cont_03,c1_lead_cont_07,block_or_occupancy,lead,0,0.0734484375,0.0728075,0.042552392578125
c1_block_cont_03,c1_lead_cont_08,block_or_occupancy,lead,0,0.10780976562500001,0.11612562500000001,0.062910595703125
c1_block_cont_03,c1_lead_nec_01,block_or_occupancy,lead,0,0.311132421875,0.34426625,0.26632280273437503
c1_block_cont_03,c1_lead_nec_02,block_or_occupancy,lead,0,0.3329234375,0.37277187500000003,0.277864404296875
c1_block_cont_03,c1_lead_nec_03,block_or_occupancy,lead,0,0.2996359375,0.33235468749999997,0.258965380859375
c1_block_cont_03,c1_lead_nec_04,block_or_occupancy,lead,0,0.326452734375,0.36365,0.27411318359375003
c1_block_cont_03,c1_lead_nec_05,block_or_occupancy,lead,0,0.322258203125,0.3587475,0.27126875
c1_block_cont_03,c1_lead_nec_06,block_or_occupancy,lead,0,0.325308203125,0.36222218749999996,0.27262822265625
c1_block_cont_03,c1_lead_nec_07,block_or_occupancy,lead,0,0.286668359375,0.3201571875,0.24394697265625
c1_block_cont_03,c1_lead_nec_08,block_or_occupancy,lead,0,0.319617578125,0.35589375,0.26892153320312495
c1_block_cont_03,c1_lead_opt_01,block_or_occupancy,lead,0,0.32227695312500004,0.3621109375,0.273763818359375
c1_block_cont_03,c1_lead_opt_02,block_or_occupancy,lead,0,0.3289375,0.37113718749999997,0.27706416015625
c1_block_cont_03,c1_lead_opt_03,block_or_occupancy,lead,0,0.32411289062500004,0.36605218749999996,0.27458847656249996
c1_block_cont_03,c1_lead_opt_04,block_or_occupancy,lead,0,0.31125234375,0.34912093750000006,0.26761230468749997
c1_block_cont_03,c1_lead_opt_05,block_or_occupancy,lead,0,0.30857226562500006,0.34800749999999997,0.265543603515625
c1_block_cont_03,c1_lead_opt_06,block_or_occupancy,lead,0,0.2999890625,0.337714375,0.259804541015625
c1_block_cont_03,c1_lead_opt_07,block_or_occupancy,lead,0,0.286111328125,0.32516124999999996,0.233166552734375
c1_block_cont_03,c1_lead_opt_08,block_or_occupancy,lead,0,0.30639843749999995,0.3471984375,0.25838105468749994
c1_block_cont_04,c1_cross_clear_01,block_or_occupancy,cross,0,0.262421484375,0.31278656250000003,0.245821240234375
c1_block_cont_04,c1_cross_clear_02,block_or_occupancy,cross,0,0.21113046874999997,0.2476553125,0.22127558593750002
c1_block_cont_04,c1_cross_clear_03,block_or_occupancy,cross,0,0.294325,0.34423218749999995,0.2561052734375
c1_block_cont_04,c1_cross_clear_04,block_or_occupancy,cross,0,0.26735195312500004,0.3060725,0.23976474609374998
c1_block_cont_04,c1_cross_clear_05,block_or_occupancy,cross,0,0.307933984375,0.360750625,0.255557373046875
c1_block_cont_04,c1_cross_clear_06,block_or_occupancy,cross,0,0.24930664062500002,0.2831896875,0.22698881835937498
c1_block_cont_04,c1_cross_clear_07,block_or_occupancy,cross,0,0.2065109375,0.2506096875,0.1365814453125
c1_block_cont_04,c1_cross_clear_08,block_or_occupancy,cross,0,0.11509453125,0.1278653125,0.10331772460937501
c1_block_cont_04,c1_cross_stall_01,block_or_occupancy,cross,0,0.30205312500000003,0.34081968749999997,0.25192099609374996
c1_block_cont_04,c1_cross_stall_02,block_or_occupancy,cross,0,0.31275859375000004,0.35173343749999997,0.259288330078125
c1_block_cont_04,c1_cross_stall_03,block_or_occupancy,cross,0,0.31856953125,0.35785093749999997,0.2625076171875
c1_block_cont_04,c1_cross_stall_04,block_or_occupancy,cross,0,0.31123203125,0.3508225,0.257348046875
c1_block_cont_04,c1_cross_stall_05,block_or_occupancy,cross,0,0.312505859375,0.35215,0.258032421875
c1_block_cont_04,c1_cross_stall_06,block_or_occupancy,cross,0,0.289343359375,0.3289303125,0.239164404296875
c1_block_cont_04,c1_cross_stall_07,block_or_occupancy,cross,0,0.30041249999999997,0.3385034375,0.22107255859375
c1_block_cont_04,c1_cross_stall_08,block_or_occupancy,cross,0,0.28457226562500004,0.3242753125,0.22349267578125
c1_block_cont_04,c1_cross_stall_occ_01,block_or_occupancy,cross,0,0.067276171875,0.06437718749999999,0.041805517578125
c1_block_cont_04,c1_cross_stall_occ_02,block_or_occupancy,cross,0,0.068450390625,0.0656096875,0.042392529296875
c1_block_cont_04,c1_cross_stall_occ_03,block_or_occupancy,cross,0,0.029490625,0.029953125000000004,0.012985839843750001
c1_block_cont_04,c1_cross_stall_occ_04,block_or_occupancy,cross,0,0.03115546875,0.0315909375,0.013720166015625
c1_block_cont_04,c1_cross_stall_occ_05,block_or_occupancy,cross,0,0.0622203125,0.064100625,0.040858740234375
c1_block_cont_04,c1_cross_stall_occ_06,block_or_occupancy,cross,0,0.027244531250000002,0.0255059375,0.021042578124999996
c1_block_cont_04,c1_cross_stall_occ_07,block_or_occupancy,cross,0,0.093712890625,0.1096975,0.05483251953125
c1_block_cont_04,c1_cross_stall_occ_08,block_or_occupancy,cross,0,0.05940234375,0.07375062499999999,0.028779296875
c1_block_cont_04,c1_lead_cont_01,block_or_occupancy,lead,0,0.078178125,0.0763171875,0.04779301757812499
c1_block_cont_04,c1_lead_cont_02,block_or_occupancy,lead,0,0.09996914062500001,0.10482281249999999,0.059334619140624996
c1_block_cont_04,c1_lead_cont_03,block_or_occupancy,lead,0,0.05526640625,0.0707128125,0.027833740234374998
c1_block_cont_04,c1_lead_cont_04,block_or_occupancy,lead,0,0.067158203125,0.072395625,0.03415419921875
c1_block_cont_04,c1_lead_cont_05,block_or_occupancy,lead,0,0.076461328125,0.0783253125,0.049590966796875004
c1_block_cont_04,c1_lead_cont_06,block_or_occupancy,lead,0,0.079511328125,0.08179999999999998,0.050950439453125
c1_block_cont_04,c1_lead_cont_07,block_or_occupancy,lead,0,0.058109375,0.0710965625,0.03492626953125
c1_block_cont_04,c1_lead_cont_08,block_or_occupancy,lead,0,0.062090234375,0.0646271875,0.041608105468750003
c1_block_cont_04,c1_lead_nec_01,block_or_occupancy,lead,0,0.328297265625,0.3685584375,0.26790693359374995
c1_block_cont_04,c1_lead_nec_02,block_or_occupancy,lead,0,0.35008828125,0.3970640625,0.27944853515625
c1_block_cont_04,c1_lead_nec_03,block_or_occupancy,lead,0,0.31680078125,0.35664687500000003,0.26054951171874996
c1_block_cont_04,c1_lead_nec_04,block_or_occupancy,lead,0,0.34361757812500004,0.38794218750000004,0.27569731445312495
c1_block_cont_04,c1_lead_nec_05,block_or_occupancy,lead,0,0.339423046875,0.3830396875,0.272852880859375
c1_block_cont_04,c1_lead_nec_06,block_or_occupancy,lead,0,0.342473046875,0.386514375,0.274212353515625
c1_block_cont_04,c1_lead_nec_07,block_or_occupancy,lead,0,0.30383320312499995,0.344449375,0.24556059570312502
c1_block_cont_04,c1_lead_nec_08,block_or_occupancy,lead,0,0.336782421875,0.38018593749999996,0.2705056640625
c1_block_cont_04,c1_lead_opt_01,block_or_occupancy,lead,0,0.339441796875,0.386403125,0.27534794921875
c1_block_cont_04,c1_lead_opt_02,block_or_occupancy,lead,0,0.34610234375000004,0.395429375,0.278648291015625
c1_block_cont_04,c1_lead_opt_03,block_or_occupancy,lead,0,0.341277734375,0.390344375,0.276172607421875
c1_block_cont_04,c1_lead_opt_04,block_or_occupancy,lead,0,0.32841718750000004,0.373413125,0.269196435546875
c1_block_cont_04,c1_lead_opt_05,block_or_occupancy,lead,0,0.325737109375,0.3722996875,0.26712773437500004
c1_block_cont_04,c1_lead_opt_06,block_or_occupancy,lead,0,0.31715390625,0.3620065625,0.26138867187500003
c1_block_cont_04,c1_lead_opt_07,block_or_occupancy,lead,0,0.304483984375,0.35041968749999997,0.2360453125
c1_block_cont_04,c1_lead_opt_08,block_or_occupancy,lead,0,0.32356328125,0.371490625,0.259965185546875
c1_block_cont_05,c1_cross_clear_01,block_or_occupancy,cross,0,0.30937265625,0.3559128125,0.27332421875
c1_block_cont_05,c1_cross_clear_02,block_or_occupancy,cross,0,0.258081640625,0.2907815625,0.247589501953125
c1_block_cont_05,c1_cross_clear_03,block_or_occupancy,cross,0,0.34127617187500003,0.3873584375,0.283608251953125
c1_block_cont_05,c1_cross_clear_04,block_or_occupancy,cross,0,0.314303125,0.34919875,0.26526303710937504
c1_block_cont_05,c1_cross_clear_05,block_or_occupancy,cross,0,0.35488515625,0.403876875,0.2830603515625
