pair_id,state_i,state_j,coarse_i,coarse_j,same_coarse,d0_mean,d0_max,d1_mean,d1_max,closure_drift,n_common_actions,pair_type
block_cont_r10__block_cont_r2,block_cont_r10,block_cont_r2,block_or_occupancy,block_or_occupancy,1,0.380763,1.0,0.236031,0.504681,-0.144732,8,same
block_cont_r10__block_cont_r3,block_cont_r10,block_cont_r3,block_or_occupancy,block_or_occupancy,1,0.146025,1.0,0.072235,0.269376,-0.07379,8,same
block_cont_r10__block_cont_r4,block_cont_r10,block_cont_r4,block_or_occupancy,block_or_occupancy,1,0.125212,1.0,0.032188,0.25367,-0.093024,8,same
block_cont_r10__block_cont_r5,block_cont_r10,block_cont_r5,block_or_occupancy,block_or_occupancy,1,0.515937,1.0,0.276271,0.53998,-0.239666,8,same
block_cont_r10__block_cont_r6,block_cont_r10,block_cont_r6,block_or_occupancy,block_or_occupancy,1,0.384387,1.0,0.225873,0.52031,-0.158514,8,same
block_cont_r10__block_cont_r7,block_cont_r10,block_cont_r7,block_or_occupancy,block_or_occupancy,1,0.379062,1.0,0.188416,0.503512,-0.190646,8,same
block_cont_r10__block_cont_r8,block_cont_r10,block_cont_r8,block_or_occupancy,block_or_occupancy,1,0.38605,1.0,0.212138,0.41382,-0.173912,8,same
block_cont_r10__block_cont_r9,block_cont_r10,block_cont_r9,block_or_occupancy,block_or_occupancy,1,0.25225,1.0,0.208814,0.399587,-0.043436,8,same
block_cont_r10__block_nec_r1,block_cont_r10,block_nec_r1,block_or_occupancy,block_or_occupancy,1,0.871175,1.0,0.611568,0.880017,-0.259607,8,same
block_cont_r10__block_nec_r10,block_cont_r10,block_nec_r10,block_or_occupancy,block_or_occupancy,1,0.893038,1.0,0.669215,0.913642,-0.223823,8,same
block_cont_r10__block_nec_r11,block_cont_r10,block_nec_r11,block_or_occupancy,block_or_occupancy,1,0.857538,1.0,0.542816,0.851994,-0.314722,8,same
block_cont_r10__block_nec_r12,block_cont_r10,block_nec_r12,block_or_occupancy,block_or_occupancy,1,0.893038,1.0,0.690096,0.937061,-0.202942,8,same
block_cont_r10__block_nec_r2,block_cont_r10,block_nec_r2,block_or_occupancy,block_or_occupancy,1,0.893038,1.0,0.670725,0.922395,-0.222313,8,same
block_cont_r10__block_nec_r3,block_cont_r10,block_nec_r3,block_or_occupancy,block_or_occupancy,1,0.857637,1.0,0.580173,0.880017,-0.277464,8,same
block_cont_r10__block_nec_r4,block_cont_r10,block_nec_r4,block_or_occupancy,block_or_occupancy,1,0.890912,1.0,0.630235,0.882691,-0.260677,8,same
block_cont_r10__block_nec_r5,block_cont_r10,block_nec_r5,block_or_occupancy,block_or_occupancy,1,0.889813,1.0,0.561042,0.875347,-0.328771,8,same
block_cont_r10__block_nec_r6,block_cont_r10,block_nec_r6,block_or_occupancy,block_or_occupancy,1,0.881862,1.0,0.618696,0.880017,-0.263166,8,same
block_cont_r10__block_nec_r7,block_cont_r10,block_nec_r7,block_or_occupancy,block_or_occupancy,1,0.893038,1.0,0.650929,0.890403,-0.242109,8,same
block_cont_r10__block_nec_r8,block_cont_r10,block_nec_r8,block_or_occupancy,block_or_occupancy,1,0.90745,1.0,0.572428,0.915141,-0.335022,8,same
block_cont_r10__block_nec_r9,block_cont_r10,block_nec_r9,block_or_occupancy,block_or_occupancy,1,0.8768,1.0,0.602139,0.887854,-0.274661,8,same
block_cont_r10__cross_clear_r1,block_cont_r10,cross_clear_r1,block_or_occupancy,cross,0,0.865588,1.0,0.70094,0.941604,-0.164648,8,cross
block_cont_r10__cross_clear_r10,block_cont_r10,cross_clear_r10,block_or_occupancy,cross,0,0.570738,1.0,0.384334,0.806308,-0.186404,8,cross
block_cont_r10__cross_clear_r11,block_cont_r10,cross_clear_r11,block_or_occupancy,cross,0,0.867263,1.0,0.611971,0.89593,-0.255292,8,cross
block_cont_r10__cross_clear_r12,block_cont_r10,cross_clear_r12,block_or_occupancy,cross,0,0.617,1.0,0.606329,0.880017,-0.010671,8,cross
block_cont_r10__cross_clear_r2,block_cont_r10,cross_clear_r2,block_or_occupancy,cross,0,0.799362,1.0,0.699793,0.93709,-0.099569,8,cross
block_cont_r10__cross_clear_r3,block_cont_r10,cross_clear_r3,block_or_occupancy,cross,0,0.891912,1.0,0.705721,0.961799,-0.186191,8,cross
