state_id,coarse_mechanism,fine_mechanism,param_group_id,M_U0,V_U0,M_U1,V_U1,M_U2,V_U2,M_U3,V_U3,M_U4,V_U4,M_U5,V_U5,M_U6,V_U6,M_U7,V_U7,datarow_valid,health_reason
cross_clear_r10,cross,cross_clear,cross_clear|v8|d6,1,0.6004,1,0.5954,1,0.3556,0,0.0,1,0.6709,1,0.5954,1,0.4862,0,0.0,1,
cross_clear_r11,cross,cross_clear,cross_clear|v8|d7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,0.7938,1,0.6958,1,0.549,1,
cross_clear_r12,cross,cross_clear,cross_clear|v8|d8,1,0.8019,1,0.3957,1,0.4154,1,0.549,1,0.7832,1,0.6484,1,0.4585,1,0.5245,1,
cross_clear_r2,cross,cross_clear,cross_clear|v6|d6,1,1.0,1,1.0,1,0.5102,1,0.7404,1,1.0,1,1.0,1,0.7443,1,0.7404,1,
cross_clear_r3,cross,cross_clear,cross_clear|v6|d7,1,1.0,1,1.0,1,0.991,1,1.0,1,1.0,1,1.0,1,0.991,1,0.8736,1,
cross_clear_r4,cross,cross_clear,cross_clear|v6|d8,1,1.0,1,1.0,1,0.7659,1,0.5306,1,1.0,1,1.0,1,0.6673,1,0.7285,1,
cross_clear_r5,cross,cross_clear,cross_clear|v7|d5,1,1.0,1,0.648,1,1.0,1,1.0,1,1.0,1,0.648,1,0.6144,1,0.4419,1,
cross_clear_r6,cross,cross_clear,cross_clear|v7|d6,1,0.9175,1,0.5252,1,0.4092,1,0.4748,1,0.8601,1,0.5497,1,0.6144,1,0.5115,1,
cross_clear_r7,cross,cross_clear,cross_clear|v7|d7,1,1.0,1,0.9427,1,1.0,1,1.0,1,1.0,1,0.8476,1,0.7845,1,0.7306,1,
cross_clear_r8,cross,cross_clear,cross_clear|v7|d8,1,1.0,1,0.7538,1,0.7402,1,0.5537,1,1.0,1,0.7645,1,0.7121,1,0.695,1,
cross_clear_r9,cross,cross_clear,cross_clear|v8|d5,1,1.0,1,1.0,1,1.0,1,1.0,1,0.7114,1,0.6079,0,0.0,0,0.0,1,
cross_stall_r1,cross,cross_stall,cross_stall|v6|d6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r10,cross,cross_stall,cross_stall|v7|d7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r11,cross,cross_stall,cross_stall|v8|d7,1,1.0,1,1.0,1,1.0,1,0.9739,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r12,cross,cross_stall,cross_stall|v8|d8,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r2,cross,cross_stall,cross_stall|v6|d6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r3,cross,cross_stall,cross_stall|v7|d6,1,1.0,1,1.0,1,1.0,1,0.9606,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r4,cross,cross_stall,cross_stall|v7|d7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r5,cross,cross_stall,cross_stall|v8|d7,1,1.0,1,1.0,1,0.9375,1,0.7833,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r6,cross,cross_stall,cross_stall|v8|d8,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r7,cross,cross_stall,cross_stall|v6|d6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r8,cross,cross_stall,cross_stall|v6|d6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_r9,cross,cross_stall,cross_stall|v7|d6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
cross_stall_occ_r1,cross,cross_stall_occ,cross_stall_occ|v6|d6,1,0.3789,1,0.3233,1,0.29,1,0.2732,0,0.0,0,0.0,0,0.0,0,0.0,1,
cross_stall_occ_r10,cross,cross_stall_occ,cross_stall_occ|v7|d7,1,0.3831,1,0.3356,1,0.3057,1,0.2924,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
cross_stall_occ_r11,cross,cross_stall_occ,cross_stall_occ|v8|d7,1,0.2713,1,0.2431,1,0.2257,1,0.2173,0,0.0,0,0.0,0,0.0,0,0.0,1,
