pair_id,state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,d0_mean,d0_max,probe_action,successor_valid_i,successor_valid_j,d1_action_mean,d1_action_max
block_cont_r1__block_cont_r8,block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.253575,1.0,U5,1,1,0.0,0.0
block_cont_r1__block_cont_r8,block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.253575,1.0,U6,1,1,0.0,0.0
block_cont_r1__block_cont_r8,block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.253575,1.0,U7,1,1,0.0,0.0
block_cont_r1__block_cont_r9,block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.148475,1.0,U0,1,1,0.131484,0.131484
block_cont_r1__block_cont_r9,block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.148475,1.0,U1,1,1,0.381309,0.381309
block_cont_r1__block_cont_r9,block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.148475,1.0,U2,1,1,0.502621,0.502621
block_cont_r1__block_cont_r9,block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.148475,1.0,U3,1,1,0.131309,0.131309
block_cont_r1__block_cont_r9,block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.148475,1.0,U4,1,1,0.125,0.125
block_cont_r1__block_cont_r9,block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.148475,1.0,U5,1,1,0.0,0.0
block_cont_r1__block_cont_r9,block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.148475,1.0,U6,1,1,0.0,0.0
block_cont_r1__block_cont_r9,block_cont_r1,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.148475,1.0,U7,1,1,0.0,0.0
block_cont_r1__block_nec_r1,block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.891238,1.0,U0,1,1,0.910391,0.910391
block_cont_r1__block_nec_r1,block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.891238,1.0,U1,1,1,0.870976,0.870976
block_cont_r1__block_nec_r1,block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.891238,1.0,U2,1,1,0.723382,0.723382
block_cont_r1__block_nec_r1,block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.891238,1.0,U3,1,1,0.319569,0.319569
block_cont_r1__block_nec_r1,block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.891238,1.0,U4,1,1,0.5,0.5
block_cont_r1__block_nec_r1,block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.891238,1.0,U5,1,1,0.5,0.5
block_cont_r1__block_nec_r1,block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.891238,1.0,U6,1,1,0.5,0.5
block_cont_r1__block_nec_r1,block_cont_r1,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.891238,1.0,U7,1,1,0.5,0.5
block_cont_r1__block_nec_r10,block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U0,1,1,0.910391,0.910391
block_cont_r1__block_nec_r10,block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U1,1,1,0.903433,0.903433
block_cont_r1__block_nec_r10,block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U2,1,1,0.907813,0.907813
block_cont_r1__block_nec_r10,block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U3,1,1,0.725603,0.725603
block_cont_r1__block_nec_r10,block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U4,1,1,0.5,0.5
block_cont_r1__block_nec_r10,block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U5,1,1,0.5,0.5
block_cont_r1__block_nec_r10,block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U6,1,1,0.5,0.5
block_cont_r1__block_nec_r10,block_cont_r1,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U7,1,1,0.5,0.5
block_cont_r1__block_nec_r11,block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.870912,1.0,U0,1,1,0.841894,0.841894
block_cont_r1__block_nec_r11,block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.870912,1.0,U1,1,1,0.885021,0.885021
block_cont_r1__block_nec_r11,block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.870912,1.0,U2,1,1,0.588583,0.588583
block_cont_r1__block_nec_r11,block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.870912,1.0,U3,1,1,0.25,0.25
block_cont_r1__block_nec_r11,block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.870912,1.0,U4,1,1,0.5,0.5
block_cont_r1__block_nec_r11,block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.870912,1.0,U5,1,1,0.5,0.5
block_cont_r1__block_nec_r11,block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.870912,1.0,U6,1,1,0.5,0.5
block_cont_r1__block_nec_r11,block_cont_r1,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.870912,1.0,U7,1,1,0.5,0.5
block_cont_r1__block_nec_r12,block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U0,1,1,0.910391,0.910391
block_cont_r1__block_nec_r12,block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U1,1,1,0.903433,0.903433
block_cont_r1__block_nec_r12,block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U2,1,1,0.931232,0.931232
block_cont_r1__block_nec_r12,block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U3,1,1,0.850603,0.850603
block_cont_r1__block_nec_r12,block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U4,1,1,0.5,0.5
block_cont_r1__block_nec_r12,block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U5,1,1,0.5,0.5
block_cont_r1__block_nec_r12,block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U6,1,1,0.5,0.5
block_cont_r1__block_nec_r12,block_cont_r1,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U7,1,1,0.5,0.5
block_cont_r1__block_nec_r2,block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U0,1,1,0.910391,0.910391
block_cont_r1__block_nec_r2,block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U1,1,1,0.903433,0.903433
block_cont_r1__block_nec_r2,block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U2,1,1,0.916566,0.916566
block_cont_r1__block_nec_r2,block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U3,1,1,0.725603,0.725603
block_cont_r1__block_nec_r2,block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U4,1,1,0.5,0.5
block_cont_r1__block_nec_r2,block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U5,1,1,0.5,0.5
block_cont_r1__block_nec_r2,block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U6,1,1,0.5,0.5
block_cont_r1__block_nec_r2,block_cont_r1,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U7,1,1,0.5,0.5
block_cont_r1__block_nec_r3,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.8777,1.0,U0,1,1,0.910391,0.910391
block_cont_r1__block_nec_r3,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.8777,1.0,U1,1,1,0.830813,0.830813
block_cont_r1__block_nec_r3,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.8777,1.0,U2,1,1,0.646837,0.646837
block_cont_r1__block_nec_r3,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.8777,1.0,U3,1,1,0.17901,0.17901
block_cont_r1__block_nec_r3,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.8777,1.0,U4,1,1,0.5,0.5
block_cont_r1__block_nec_r3,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.8777,1.0,U5,1,1,0.5,0.5
block_cont_r1__block_nec_r3,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.8777,1.0,U6,1,1,0.5,0.5
block_cont_r1__block_nec_r3,block_cont_r1,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.8777,1.0,U7,1,1,0.5,0.5
block_cont_r1__block_nec_r4,block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.910975,1.0,U0,1,1,0.910391,0.910391
block_cont_r1__block_nec_r4,block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.910975,1.0,U1,1,1,0.890193,0.890193
block_cont_r1__block_nec_r4,block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.910975,1.0,U2,1,1,0.772781,0.772781
block_cont_r1__block_nec_r4,block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.910975,1.0,U3,1,1,0.590481,0.590481
block_cont_r1__block_nec_r4,block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.910975,1.0,U4,1,1,0.5,0.5
block_cont_r1__block_nec_r4,block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.910975,1.0,U5,1,1,0.5,0.5
block_cont_r1__block_nec_r4,block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.910975,1.0,U6,1,1,0.5,0.5
block_cont_r1__block_nec_r4,block_cont_r1,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.910975,1.0,U7,1,1,0.5,0.5
block_cont_r1__block_nec_r5,block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.903188,1.0,U0,1,1,0.877934,0.877934
block_cont_r1__block_nec_r5,block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.903188,1.0,U1,1,1,0.825671,0.825671
block_cont_r1__block_nec_r5,block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.903188,1.0,U2,1,1,0.530323,0.530323
block_cont_r1__block_nec_r5,block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.903188,1.0,U3,1,1,0.25,0.25
block_cont_r1__block_nec_r5,block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.903188,1.0,U4,1,1,0.5,0.5
block_cont_r1__block_nec_r5,block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.903188,1.0,U5,1,1,0.5,0.5
block_cont_r1__block_nec_r5,block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.903188,1.0,U6,1,1,0.5,0.5
block_cont_r1__block_nec_r5,block_cont_r1,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.903188,1.0,U7,1,1,0.5,0.5
block_cont_r1__block_nec_r6,block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.901925,1.0,U0,1,1,0.910391,0.910391
block_cont_r1__block_nec_r6,block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.901925,1.0,U1,1,1,0.858484,0.858484
block_cont_r1__block_nec_r6,block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.901925,1.0,U2,1,1,0.786511,0.786511
block_cont_r1__block_nec_r6,block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.901925,1.0,U3,1,1,0.319846,0.319846
block_cont_r1__block_nec_r6,block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.901925,1.0,U4,1,1,0.5,0.5
block_cont_r1__block_nec_r6,block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.901925,1.0,U5,1,1,0.5,0.5
block_cont_r1__block_nec_r6,block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.901925,1.0,U6,1,1,0.5,0.5
block_cont_r1__block_nec_r6,block_cont_r1,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.901925,1.0,U7,1,1,0.5,0.5
block_cont_r1__block_nec_r7,block_cont_r1,block_nec_r7,block_or_occupancy,block_or_occupancy,block_cont,block_nec,0.9131,1.0,U0,1,1,0.910391,0.910391
