state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,group_i,group_j,same_coarse,same_fine,same_param_group,ego_speed_diff,d0_mean,d0_max
block_cont_r1,cross_stall_r5,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v8|d7,0,0,0,2.0,0.8782,1.0
block_cont_r1,cross_stall_r6,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v8|d8,0,0,0,2.0,0.9131,1.0
block_cont_r1,cross_stall_r7,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v6|d6,0,0,0,0.0,0.9131,1.0
block_cont_r1,cross_stall_r8,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v6|d6,0,0,0,0.0,0.9131,1.0
block_cont_r1,cross_stall_r9,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v7|d6,0,0,0,1.0,0.9131,1.0
block_cont_r1,lead_cont_r1,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v6|s5,0,0,0,0.0,0.100263,0.2406
block_cont_r1,lead_cont_r10,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v9|s8,0,0,0,3.0,0.270575,1.0
block_cont_r1,lead_cont_r11,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v7|s6,0,0,0,1.0,0.367287,1.0
block_cont_r1,lead_cont_r12,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v8|s7,0,0,0,2.0,0.17355,0.3829
block_cont_r1,lead_cont_r2,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v6|s5,0,0,0,0.0,0.173387,0.4159
block_cont_r1,lead_cont_r3,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v7|s5,0,0,0,1.0,0.37205,1.0
block_cont_r1,lead_cont_r4,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v7|s6,0,0,0,1.0,0.416837,1.0
block_cont_r1,lead_cont_r5,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v8|s6,0,0,0,2.0,0.126613,0.2765
block_cont_r1,lead_cont_r6,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v8|s7,0,0,0,2.0,0.192112,0.4255
block_cont_r1,lead_cont_r7,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v8|s7,0,0,0,2.0,0.17355,0.3829
block_cont_r1,lead_cont_r8,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v9|s7,0,0,0,3.0,0.270575,1.0
block_cont_r1,lead_cont_r9,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v9|s8,0,0,0,3.0,0.274525,1.0
block_cont_r1,lead_nec_r1,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v6|s5,0,0,0,0.0,0.9131,1.0
block_cont_r1,lead_nec_r10,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v9|s8,0,0,0,3.0,0.9131,1.0
block_cont_r1,lead_nec_r11,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v7|s6,0,0,0,1.0,0.9131,1.0
block_cont_r1,lead_nec_r12,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v8|s7,0,0,0,2.0,0.9131,1.0
block_cont_r1,lead_nec_r2,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v6|s5,0,0,0,0.0,0.9131,1.0
block_cont_r1,lead_nec_r3,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v7|s5,0,0,0,1.0,0.9131,1.0
block_cont_r1,lead_nec_r4,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v7|s6,0,0,0,1.0,0.9131,1.0
block_cont_r1,lead_nec_r5,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v8|s6,0,0,0,2.0,0.9131,1.0
block_cont_r1,lead_nec_r6,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v8|s7,0,0,0,2.0,0.9131,1.0
block_cont_r1,lead_nec_r7,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v8|s7,0,0,0,2.0,0.9131,1.0
block_cont_r1,lead_nec_r8,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v9|s7,0,0,0,3.0,0.9131,1.0
block_cont_r1,lead_nec_r9,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v9|s8,0,0,0,3.0,0.9131,1.0
block_cont_r1,lead_opt_r1,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v6|s6,0,0,0,0.0,0.9131,1.0
block_cont_r1,lead_opt_r10,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v8|s7,0,0,0,2.0,0.9131,1.0
block_cont_r1,lead_opt_r11,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v6|s6,0,0,0,0.0,0.9131,1.0
block_cont_r1,lead_opt_r12,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v7|s7,0,0,0,1.0,0.9131,1.0
block_cont_r1,lead_opt_r2,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v6|s6,0,0,0,0.0,0.9131,1.0
block_cont_r1,lead_opt_r3,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v7|s6,0,0,0,1.0,0.9131,1.0
block_cont_r1,lead_opt_r4,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v7|s6,0,0,0,1.0,0.9131,1.0
block_cont_r1,lead_opt_r5,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v8|s7,0,0,0,2.0,0.9131,1.0
block_cont_r1,lead_opt_r6,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v8|s7,0,0,0,2.0,0.9131,1.0
block_cont_r1,lead_opt_r7,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v9|s7,0,0,0,3.0,0.9131,1.0
block_cont_r1,lead_opt_r8,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v9|s7,0,0,0,3.0,0.9131,1.0
block_cont_r1,lead_opt_r9,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v7|s6,0,0,0,1.0,0.9131,1.0
block_cont_r1,temp_opt_r1,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v6|o6,1,0,0,0.0,0.9131,1.0
block_cont_r1,temp_opt_r10,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v6|o7,1,0,0,0.0,0.9131,1.0
block_cont_r1,temp_opt_r11,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v7|o8,1,0,0,1.0,0.9131,1.0
block_cont_r1,temp_opt_r12,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v8|o7,1,0,0,2.0,0.909837,1.0
block_cont_r1,temp_opt_r2,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v6|o7,1,0,0,0.0,0.9131,1.0
block_cont_r1,temp_opt_r3,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v6|o8,1,0,0,0.0,0.9131,1.0
block_cont_r1,temp_opt_r4,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v7|o6,1,0,0,1.0,0.9131,1.0
block_cont_r1,temp_opt_r5,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v7|o7,1,0,0,1.0,0.9131,1.0
block_cont_r1,temp_opt_r6,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v7|o8,1,0,0,1.0,0.9131,1.0
block_cont_r1,temp_opt_r7,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v8|o6,1,0,0,2.0,0.887775,1.0
block_cont_r1,temp_opt_r8,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v8|o7,1,0,0,2.0,0.9131,1.0
block_cont_r1,temp_opt_r9,block_or_occupancy,block_or_occupancy,block_cont,temp_opt,block_cont|v6|L5,temp_opt|v8|o8,1,0,0,2.0,0.9131,1.0
block_cont_r10,block_cont_r11,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v8|L6,1,1,0,1.0,0.515937,1.0
block_cont_r10,block_cont_r12,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v6|L6,1,1,0,1.0,0.383725,1.0
block_cont_r10,block_cont_r2,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v6|L5,1,1,0,1.0,0.380763,1.0
block_cont_r10,block_cont_r3,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v7|L5,1,1,0,0.0,0.146025,1.0
block_cont_r10,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v7|L6,1,1,1,0.0,0.125212,1.0
block_cont_r10,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v8|L6,1,1,0,1.0,0.515937,1.0
block_cont_r10,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v8|L7,1,1,0,1.0,0.384387,1.0
block_cont_r10,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v8|L7,1,1,0,1.0,0.379062,1.0
block_cont_r10,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v9|L7,1,1,0,2.0,0.38605,1.0
block_cont_r10,block_cont_r9,block_or_occupancy,block_or_occupancy,block_cont,block_cont,block_cont|v7|L6,block_cont|v9|L8,1,1,0,2.0,0.25225,1.0
block_cont_r10,block_nec_r1,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v6|L5,1,0,0,1.0,0.871175,1.0
block_cont_r10,block_nec_r10,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v7|L6,1,0,0,0.0,0.893038,1.0
block_cont_r10,block_nec_r11,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v8|L6,1,0,0,1.0,0.857538,1.0
block_cont_r10,block_nec_r12,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v6|L6,1,0,0,1.0,0.893038,1.0
block_cont_r10,block_nec_r2,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v6|L5,1,0,0,1.0,0.893038,1.0
block_cont_r10,block_nec_r3,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v7|L5,1,0,0,0.0,0.857637,1.0
block_cont_r10,block_nec_r4,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v7|L6,1,0,0,0.0,0.890912,1.0
block_cont_r10,block_nec_r5,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v8|L6,1,0,0,1.0,0.889813,1.0
block_cont_r10,block_nec_r6,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v8|L7,1,0,0,1.0,0.881862,1.0
block_cont_r10,block_nec_r7,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v8|L7,1,0,0,1.0,0.893038,1.0
block_cont_r10,block_nec_r8,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v9|L7,1,0,0,2.0,0.90745,1.0
block_cont_r10,block_nec_r9,block_or_occupancy,block_or_occupancy,block_cont,block_nec,block_cont|v7|L6,block_nec|v9|L8,1,0,0,2.0,0.8768,1.0
block_cont_r10,cross_clear_r1,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v6|d5,0,0,0,1.0,0.865588,1.0
block_cont_r10,cross_clear_r10,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v8|d6,0,0,0,1.0,0.570738,1.0
block_cont_r10,cross_clear_r11,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v8|d7,0,0,0,1.0,0.867263,1.0
block_cont_r10,cross_clear_r12,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v8|d8,0,0,0,1.0,0.617,1.0
