scene,group,v0,s0,quadrant,expected,pass,G0,GL,n_branches,P0_2,P0_4,P0_6,P0_8,P0_10,PL_2,PL_4,PL_6,PL_8,PL_10,Pfree_2,Pfree_4,Pfree_6,Pfree_8,Pfree_10
D1,5,6.0,17.78,Contingency/Wait,both~0,True,0.0,,40,15.0,21.06,21.06,21.06,21.06,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,36.0,60.75,85.5,110.25
D1,6,7.0,23.09,Contingency/Wait,both~0,True,0.0,,40,17.0,19.75,19.75,19.75,19.75,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,39.88,64.62,89.38,114.12
D1,7,8.0,28.88,Contingency/Wait,both~0,True,0.0,,40,19.0,28.0,28.0,28.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,43.12,67.88,92.62,117.38
D1,8,9.0,35.79,Contingency/Wait,both~0,True,0.0,,40,21.0,25.0,25.06,25.06,25.06,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,45.75,70.5,95.25,120.0
D1,9,7.0,22.88,Contingency/Wait,both~0,True,0.0,,40,17.0,22.0,22.0,22.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,39.88,64.62,89.38,114.12
D2,1,6.0,17.81,Contingency/Wait,both~0,True,0.0,,40,15.0,17.06,17.06,17.06,17.06,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,36.0,60.75,85.5,110.25
D2,10,8.0,28.82,Contingency/Wait,both~0,True,0.0,,40,19.0,28.06,28.06,28.06,28.06,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,43.12,67.88,92.62,117.38
D2,2,7.0,23.09,Contingency/Wait,both~0,True,0.0,,40,17.0,17.81,17.81,17.81,17.81,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,39.88,64.62,89.38,114.12
D2,3,8.0,28.92,Contingency/Wait,both~0,True,0.0,,40,19.0,27.94,27.94,27.94,27.94,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,43.12,67.88,92.62,117.38
D2,4,9.0,35.46,Contingency/Wait,both~0,True,0.0,,40,21.0,25.25,25.31,25.31,25.31,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,45.75,70.5,95.25,120.0
D2,5,6.0,17.66,Contingency/Wait,both~0,True,0.0,,40,15.0,21.19,21.19,21.19,21.19,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,36.0,60.75,85.5,110.25
D2,6,7.0,23.01,Contingency/Wait,both~0,True,0.0,0.0,40,17.0,19.88,19.88,19.88,19.88,-1.0,19.75,19.75,19.75,19.75,17.0,39.88,64.62,89.38,114.12
D2,7,8.0,28.91,Contingency/Wait,both~0,True,0.0,,40,19.0,27.94,27.94,27.94,27.94,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,43.12,67.88,92.62,117.38
D2,8,9.0,35.61,Contingency/Wait,both~0,True,0.0,,40,21.0,25.25,25.25,25.25,25.25,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,45.75,70.5,95.25,120.0
D2,9,7.0,23.11,Contingency/Wait,both~0,True,0.0,0.0,40,17.0,21.75,21.75,21.75,21.75,-1.0,21.56,21.69,21.69,21.69,17.0,39.88,64.62,89.38,114.12
G1,1,7,23.39,LateralNecessary,GL>0,True,0.0,12.375,20,17.0,38.38,40.31,40.44,40.44,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
