route,config_name,scenario_group,frame,scenario_progress,num_dynamic_actors,dominant_actor_id,dominant_token_idx,D1,D2,D1_D2_ratio,pass_D1,pass_ratio,single_dominant,snapshot_path
route3,HardBreakRoute_10,HardBreakRoute,473,-1,30,3719,6,4.66564,0.6461,7.221,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000473.npz
route3,HardBreakRoute_10,HardBreakRoute,477,-1,30,3719,6,4.34346,0.76281,5.694,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000477.npz
route3,HardBreakRoute_10,HardBreakRoute,481,-1,30,3719,6,3.93394,0.83117,4.733,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000481.npz
route3,HardBreakRoute_10,HardBreakRoute,485,-1,30,3719,6,4.42771,0.77749,5.695,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000485.npz
route3,HardBreakRoute_10,HardBreakRoute,489,-1,30,3719,6,4.83709,0.65222,7.416,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000489.npz
route3,HardBreakRoute_10,HardBreakRoute,493,-1,30,3719,6,4.70283,0.63807,7.37,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000493.npz
route3,HardBreakRoute_10,HardBreakRoute,497,-1,30,3719,6,3.9519,0.79649,4.962,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000497.npz
route3,HardBreakRoute_10,HardBreakRoute,501,-1,30,3719,6,4.13533,0.72823,5.679,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000501.npz
route3,HardBreakRoute_10,HardBreakRoute,505,-1,30,3719,6,4.71092,0.65303,7.214,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000505.npz
route3,HardBreakRoute_10,HardBreakRoute,509,-1,30,3719,6,5.15034,0.58382,8.822,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000509.npz
route3,HardBreakRoute_10,HardBreakRoute,513,-1,30,3719,6,4.69016,0.66602,7.042,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000513.npz
route3,HardBreakRoute_10,HardBreakRoute,517,-1,30,3719,6,4.82483,0.6321,7.633,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000517.npz
route3,HardBreakRoute_10,HardBreakRoute,521,-1,30,3719,6,5.0109,0.56229,8.912,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000521.npz
route3,HardBreakRoute_10,HardBreakRoute,525,-1,30,3719,6,4.87321,0.50224,9.703,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000525.npz
route3,HardBreakRoute_10,HardBreakRoute,529,-1,30,3719,6,4.86621,0.49319,9.867,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000529.npz
route3,HardBreakRoute_10,HardBreakRoute,533,-1,30,3719,6,4.49511,0.54872,8.192,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000533.npz
route3,HardBreakRoute_10,HardBreakRoute,537,-1,30,3719,6,3.87539,0.6477,5.983,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000537.npz
route3,HardBreakRoute_10,HardBreakRoute,541,-1,30,3719,6,3.04789,0.97748,3.118,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000541.npz
route3,HardBreakRoute_10,HardBreakRoute,545,-1,30,3719,6,3.40391,0.94529,3.601,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000545.npz
route3,HardBreakRoute_10,HardBreakRoute,549,-1,30,3719,6,4.11734,0.92067,4.472,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000549.npz
route3,HardBreakRoute_10,HardBreakRoute,553,-1,30,3719,6,4.23009,0.8731,4.845,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000553.npz
route3,HardBreakRoute_10,HardBreakRoute,557,-1,30,3719,6,2.73426,0.96323,2.839,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000557.npz
route3,HardBreakRoute_10,HardBreakRoute,561,-1,30,3719,6,2.69174,0.96942,2.777,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000561.npz
route3,HardBreakRoute_10,HardBreakRoute,565,-1,30,3719,6,2.76941,0.93966,2.947,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000565.npz
route3,HardBreakRoute_10,HardBreakRoute,569,-1,30,3719,6,2.47918,0.92615,2.677,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000569.npz
route3,HardBreakRoute_10,HardBreakRoute,573,-1,30,3719,6,3.22729,0.88172,3.66,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000573.npz
route3,HardBreakRoute_10,HardBreakRoute,577,-1,30,3719,6,2.43248,1.87713,1.296,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000577.npz
route3,HardBreakRoute_10,HardBreakRoute,581,-1,30,3718,7,2.87295,2.05054,1.401,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000581.npz
route3,HardBreakRoute_10,HardBreakRoute,585,-1,30,3718,7,3.46881,2.57221,1.349,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000585.npz
route3,HardBreakRoute_10,HardBreakRoute,589,-1,30,3718,7,4.11879,3.42898,1.201,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000589.npz
route3,HardBreakRoute_10,HardBreakRoute,593,-1,30,3718,7,4.22109,3.31827,1.272,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000593.npz
route3,HardBreakRoute_10,HardBreakRoute,597,-1,30,3719,6,3.16659,3.07205,1.031,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000597.npz
route3,HardBreakRoute_10,HardBreakRoute,601,-1,30,3719,6,2.82375,1.17299,2.407,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000601.npz
route3,HardBreakRoute_10,HardBreakRoute,605,-1,30,3719,6,3.24082,1.09846,2.95,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000605.npz
route3,HardBreakRoute_10,HardBreakRoute,609,-1,30,3719,6,3.24514,1.03762,3.127,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000609.npz
route3,HardBreakRoute_10,HardBreakRoute,613,-1,30,3719,6,3.24014,1.00364,3.228,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000613.npz
route3,HardBreakRoute_10,HardBreakRoute,617,-1,30,3719,6,2.41707,1.08289,2.232,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000617.npz
